exp,n,ok_legacy,ok_strict,ok_audit,acc_legacy,acc_strict,fire_all_legacy,fire_all_strict,late_fp,late_fn,response_quality,n_burst,n_per_stim,max_spikes,mode_legacy,csv
SelectivityPresynapticInhib/EXP14_preinh_260/Test,8,1,1,1,6,6,0,0,0,0,ok_single,0,0,1,selective,SelectivityPresynapticInhib/EXP14_preinh_260/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP15_preinh_270/Test,8,1,1,1,5,5,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP15_preinh_270/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP20_span100ms_baseline/Test,8,0,0,0,2,2,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP20_span100ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP21_span100ms_preinh250/Test,8,1,1,1,5,5,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP21_span100ms_preinh250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP22_span50ms_baseline/Test,8,0,0,0,1,1,1,1,0,0,ok_single,0,0,1,fire_all,SelectivityPresynapticInhib/EXP22_span50ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP23_span50ms_preinh250/Test,8,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP23_span50ms_preinh250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP24_span25ms_baseline/Test,8,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP24_span25ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP25_span25ms_preinh250/Test,8,0,0,0,1,1,1,1,0,0,ok_single,0,0,1,fire_all,SelectivityPresynapticInhib/EXP25_span25ms_preinh250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP26_span10ms_baseline/Test,8,0,0,0,1,1,1,1,0,0,ok_single,0,0,1,fire_all,SelectivityPresynapticInhib/EXP26_span10ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP27_span10ms_preinh250/Test,8,0,0,0,1,1,1,1,0,0,ok_single,0,0,1,fire_all,SelectivityPresynapticInhib/EXP27_span10ms_preinh250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP30_span200ms_baseline/Test,8,0,0,0,3,3,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP30_span200ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP31_span200ms_preinh250/Test,8,1,1,1,5,5,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP31_span200ms_preinh250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP32_span300ms_baseline/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP32_span300ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP33_span300ms_preinh250/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP33_span300ms_preinh250/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP34_span400ms_baseline/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP34_span400ms_baseline/Test/SelectivityLog/results.csv
SelectivityPresynapticInhib/EXP35_span400ms_preinh250/Test,8,1,1,1,5,5,0,0,0,0,ok_single,0,0,1,partial_FA,SelectivityPresynapticInhib/EXP35_span400ms_preinh250/Test/SelectivityLog/results.csv
TimeNeuronTimeLearner/Test,8,1,1,1,4,4,0,0,0,0,ok_single,0,0,1,partial_FA,TimeNeuronTimeLearner/Test/SelectivityLog/results.csv
TimeNeuronTimeLearnerBranch/Test,8,1,1,0,6,4,0,0,2,0,per_stim,0,2,6,selective,TimeNeuronTimeLearnerBranch/Test/SelectivityLog/results.csv
TimeNeuronTimeLearnerBranch_NextSegInh/Test,8,1,0,0,7,3,0,0,4,0,per_stim,0,2,6,selective,TimeNeuronTimeLearnerBranch_NextSegInh/Test/SelectivityLog/results.csv
TimeNeuronTimeLearnerBranch_PreInh250/Test,8,1,1,0,7,4,0,0,3,0,per_stim,0,2,6,selective,TimeNeuronTimeLearnerBranch_PreInh250/Test/SelectivityLog/results.csv
